"Rank","Country","Population_2026","Yearly_Change","Net_Change","Density_per_km2","Land_Area_km2","Migrants","Fert_Rate","Median_Age","Urban_Pop_Pct","World_Share","Dependency_Pressure_Index","Urban_Stress_Index","Pop_Density_Log","Population_Log","CPPS","Population_Pressure"
1,"India",95836634.75,0.87,826905.75,497,1620370,0,1.93,29.2,37.6,17.79,959.21,32.712,6.21060007702465,18.3781555889398,0.367267689823274,"Moderate"
2,"China",95836634.75,-0.22,84065,150,1620370,0,1.03,40.6,68.7,17.02,154.5,-15.114,5.01727983681492,18.3781555889398,0.204391321678119,"Low"
3,"United States",95836634.75,0.51,826905.75,38,1620370,8498,1.63,38.7,83.1,4.2,61.94,42.381,3.66356164612965,18.3781555889398,0.335065779221236,"Moderate"
4,"Indonesia",95836634.75,0.76,826905.75,159,1620370,0,2.08,30.7,60.3,3.47,330.72,45.828,5.07517381523383,18.3781555889398,0.329474152698251,"Moderate"
5,"Pakistan",95836634.75,1.6,826905.75,336,770880,0,3.44,20.8,34.7,3.12,1155.84,55.52,5.82008293035236,18.3781555889398,0.467777265208716,"High"
6,"Nigeria",95836634.75,2.06,826905.75,266,910770,0,4.21,18.3,55.8,2.92,1119.86,114.948,5.58724865840025,18.3781555889398,0.561490984247741,"High"
7,"Brazil",95836634.75,0.35,750261,26,1620370,0,1.59,35.3,91.7,2.57,41.34,32.095,3.29583686600433,18.3781555889398,0.293161712099568,"Low"
8,"Bangladesh",95836634.75,1.21,826905.75,923.25,130170,0,2.09,26.3,43.2,2.14,1929.5925,52.272,6.82898259781674,18.3781555889398,0.50561295559379,"High"
9,"Russia",95836634.75,-0.42,84065,9,1620370,8498,1.47,40.7,75.4,1.73,13.23,-31.668,2.30258509299405,18.3781555889398,0.243727504298778,"Low"
10,"Ethiopia",95836634.75,2.53,826905.75,139,1e+06,8498,3.72,19.3,22.9,1.67,517.08,57.937,4.9416424226093,18.3781555889398,0.531527632620852,"High"
11,"Mexico",95836634.75,0.8,826905.75,68,1620370,0,1.85,30,88.3,1.6,125.8,70.64,4.23410650459726,18.3781555889398,0.350567887897226,"Moderate"
12,"Japan",95836634.75,-0.55,84065,336,364555,8498,1.23,50.2,93.4,1.47,413.28,-51.37,5.82008293035236,18.3781555889398,0.302457684742801,"Low"
13,"Egypt",95836634.75,1.47,826905.75,121,995450,0,2.68,24.7,41.1,1.45,324.28,60.417,4.80402104473326,18.3781555889398,0.377421312955912,"Moderate"
14,"Philippines",95836634.75,0.8,826905.75,395,298170,0,1.86,26.6,49.9,1.42,734.7,39.92,5.98141421125448,18.3781555889398,0.364536002131446,"Moderate"
15,"DR Congo",95836634.75,3.21,826905.75,51,1620370,0,5.8,15.9,45.4,1.4,295.8,145.734,3.95124371858143,18.3781555889398,0.653765390999865,"High"
16,"Vietnam",95836634.75,0.57,578904,330,310070,0,1.86,33.9,42.2,1.23,613.8,24.054,5.80211837537706,18.3781555889398,0.305098932917458,"Low"
17,"Iran",93168497,0.81,750816,57,1620370,8498,1.66,34.5,73.5,1.12,94.62,59.535,4.06044301054642,18.3499202182276,0.353490216809347,"Moderate"
18,"Turkey",87926082,0.27,240656,114,769630,0,1.62,33.9,77.5,1.06,184.68,20.925,4.74493212836325,18.2920070535644,0.287718054628311,"Low"
19,"Germany",83644258,1.15,84065,240,348560,8498,1.46,45.7,77,1.01,350.4,88.55,5.48479693349065,18.2420833518404,0.384119487926119,"Moderate"
20,"Tanzania",72563780,2.86,826905.75,82,885800,0,4.41,17.6,40.8,0.87,361.62,116.688,4.4188406077966,18.0999764710133,0.558484210720116,"High"
21,"Thailand",71559614,1.15,84065,140,510890,8498,1.19,41,54.3,0.86,166.6,62.445,4.94875989037817,18.0860414364897,0.321859863818923,"Low"
22,"United Kingdom",69931528,0.55,380196,289,241930,8498,1.53,40.2,84.7,0.84,442.17,46.585,5.66988092298052,18.0630271641629,0.386241249848162,"Moderate"
23,"France",66746401,0.14,95597,122,547557,8498,1.64,42.5,83,0.8,200.08,11.62,4.81218435537242,18.0164109511701,0.320847494171369,"Low"
24,"South Africa",65453084,1.09,705765,54,1213090,8498,2.17,28.9,66.9,0.79,117.18,72.921,4.00733318523247,17.9968441844271,0.39775002251496,"Moderate"
